name,ring,quadrant,isNew,status,description,owner,contributors,commits,stars,forks,open_rank,license
Data product thinking,Adopt,Techniques,FALSE,moved in,"<p>Organizations actively adopt <strong><a href=""https://www.thoughtworks.com/insights/e-books/modern-data-engineering-playbook/data-as-a-product"">data product thinking</a></strong> as a standard practice for managing data assets. This approach treats data as a product with its own lifecycle, quality standards and focus on meeting consumer needs. We now recommend it as default advice for data management, regardless of whether organizations choose architectures like <a href=""/radar/techniques/data-mesh"">data mesh</a> or <a href=""/radar/techniques/lakehouse-architecture"">lakehouse</a>.</p>

<p>We emphasize consumer-centricity in data product thinking to drive greater adoption and value realization. This means <a href=""https://martinfowler.com/articles/designing-data-products.html"">designing data products</a> by working backward from use cases. We also focus on capturing and managing both business-relevant metadata and technical metadata using modern data catalogs like <a href=""/radar/platforms/datahub"">DataHub</a>, <a href=""/radar/platforms/collibra"">Collibra</a>, Atlan and Informatica. These practices improve data discoverability and usability. Additionally, we apply data product thinking to scale AI initiatives and create AI-ready data. This approach includes comprehensive lifecycle management, ensuring data is not only well-governed and high quality but also retired in compliance with legal and regulatory requirements when no longer needed.</p>",,,,,,,
Fuzz testing,Adopt,Techniques,TRUE,new,"<p><strong>Fuzz testing</strong> , or simply fuzzing, is a testing technique that has been around for a long time but it is still one of the lesser-known techniques. The goal is to feed a software system all kinds of invalid input and observe its behavior. For an HTTP endpoint, for example, bad requests should result in 4<em>xx</em> errors, but fuzz testing often provokes 5<em>xx</em> errors or worse. Well-documented and supported by tools, fuzz testing is more relevant than ever with more AI-generated code and <a href=""/radar/techniques/complacency-with-ai-generated-code"">complacency with AI generated code</a>. That means itâ€™s now a good time to adopt fuzz testing to ensure code remains robust and secure.</p>",,,,,,,
Software Bill of Materials,Adopt,Techniques,FALSE,moved in,"<p>Since our initial blip in 2021, <strong>Software Bill of Materials</strong> (SBOM) generation has transitioned from an emerging practice to a sensible default across our projects. The ecosystem has matured significantly, offering a robust tooling ecosystem and seamless CI/CD integration. Tools like <a href=""/radar/tools/syft"">Syft</a>, <a href=""/radar/tools/trivy"">Trivy</a> and <a href=""/radar/tools/snyk"">Snyk</a> provide comprehensive SBOM generation from source code to container images and vulnerability scanning. Platforms such as <a href=""/radar/tools/fossa"">FOSSA</a> and <a href=""/radar/platforms/chainloop"">Chainloop</a> enhance security risk management by integrating with development workflows and enforcing security policies. While a universal SBOM standard is still evolving, broad support for <a href=""https://spdx.dev"">SPDX</a> and <a href=""/radar/platforms/cyclonedx"">CycloneDX</a> has minimized adoption challenges. AI systems also require SBOMs, as evidenced by the UK Government's <a href=""https://www.gov.uk/government/publications/ai-cyber-security-code-of-practice"">AI Cyber Security Code of Practice</a> and CISA's <a href=""https://www.cisa.gov/resources-tools/resources/ai-cybersecurity-collaboration-playbook"">AI Cybersecurity Collaboration Playbook</a>. Weâ€™ll continue to monitor developments in this space.</p>",,,,,,,
Threat modeling,Adopt,Techniques,FALSE,no change,"<p>In the rapidly evolving AI-driven landscape of software development, <strong><a href=""https://martinfowler.com/articles/agile-threat-modelling.html"">threat modeling</a></strong> is more crucial than ever for building secure software while maintaining agility and avoiding the <a href=""/radar/techniques/security-sandwich"">security sandwich</a>. Threat modeling â€?a set of techniques for identifying and classifying potential threats â€?applies across various contexts, <a href=""https://aws.amazon.com/blogs/security/threat-modeling-your-generative-ai-workload-to-evaluate-security-risk/"">including generative AI applications</a>, which introduce <a href=""https://nazneen-rupawalla.gitbook.io/learn-write-share/security-bits/threat-modelling-for-ai-changing-the-way-you-view-trust-boundaries"">unique security risks</a>. To be effective, it must be performed regularly throughout the software lifecycle and works best alongside other security practices. These include defining cross-functional security requirements to address common risks in the project's technologies and leveraging automated security scanners for continuous monitoring.</p>",,,,,,,
API request collection as API product artifact,Trial,Techniques,TRUE,new,"<p>Treating <a href=""/radar/techniques/apis-as-a-product"">APIs as a product</a> means prioritizing developer experience, not only by putting sensible and standard design into APIs themselves but also providing comprehensive documentation as well as smooth onboarding experiences. While OpenAPI (<a href=""/radar/tools/swagger"">Swagger</a>) specifications can effectively document API interfaces, onboarding remains a challenge. Developers need rapid access to working examples, with preconfigured authentication and realistic test data. With the maturing of API client tools (such as <a href=""/radar/tools/postman"">Postman</a>, <a href=""/radar/tools/bruno"">Bruno</a> and <a href=""/radar/tools/insomnia"">Insomnia</a>), we recommend treating <strong>API request collection as API product artifact</strong>. API request collections should be thoughtfully designed to guide developers through key workflows, helping them to understand the API's domain language and functionality with minimal effort. To keep collections up to date, we recommend storing them in a repository and integrating them into the API's release pipeline.</p>",,,,,,,
Architecture advice process,Trial,Techniques,TRUE,new,"<p>One of the persistent challenges in large software teams is determining who makes the architectural decisions that shape the evolution of systems. The <a href=""https://dora.dev/"">State of DevOps report</a> reveals that the traditional approach of Architecture Review Boards is counterproductive, often hindering workflow and correlating with low organizational performance. A compelling alternative is an <strong><a href=""https://martinfowler.com/articles/scaling-architecture-conversationally.html"">architectural advice process</a></strong> â€?a decentralized approach where anyone can make any architectural decision, provided they seek advice from those affected and those with relevant expertise. This method enables teams to optimize for flow without compromising architectural quality, both at small and large scales. At first glance, this approach may seem controversial, but practices such as <a href=""/radar/techniques/lightweight-architecture-decision-records"">Architecture Decision Records</a> and advisory forums ensure that decisions remain informed, while empowering those closest to the work to make decisions. Weâ€™ve seen this model succeed at scale in an increasing number of organizations, including those in highly regulated industries.</p>",,,,,,,
GraphRAG,Trial,Techniques,TRUE,new,"<p>In our last update of <a href=""/radar/techniques/retrieval-augmented-generation-rag"">RAG</a>, we introduced <strong>GraphRAG</strong> , originally described in <a href=""https://www.microsoft.com/en-us/research/blog/graphrag-unlocking-llm-discovery-on-narrative-private-data/"">Microsoft's article</a> as a two-step approach: (1) Chunking documents and using an LLM-based analysis of the chunks to create a knowledge graph; (2) retrieving relevant chunks at query time via embeddings while following edges in the knowledge graph to discover additional related chunks, which are then added to the augmented prompt. In many cases this approach enhances LLM-generated responses. We've observed similar benefits when <a href=""/radar/techniques/using-genai-to-understand-legacy-codebases"">using GenAI to understand legacy codebases</a>, where we use structural information â€?such as abstract syntax trees and dependencies â€?to build the knowledge graph. The GraphRAG pattern has gained traction, with tools and frameworks like Neo4j's <a href=""https://neo4j.com/blog/news/graphrag-python-package/"">GraphRAG Python package</a> emerging to support it. We also see <a href=""/radar/platforms/graphiti"">Graphiti</a> as fitting a broader interpretation of GraphRAG as a pattern.</p>",,,,,,,
Just-in-time privileged access management,Trial,Techniques,TRUE,new,"<p><a href=""https://csrc.nist.gov/glossary/term/least_privilege"">Least privilege</a> ensures users and systems have only the minimum access required to perform their tasks. Privileged credential abuse is a major factor in <a href=""https://www.infosecinstitute.com/resources/secure-coding/least-privilege-vulnerabilities-exploitation-case-study/#:%7E:text=rights%20to%20the%20minimum%20they,need%20to%20perform%20their%20job"">security breaches</a>, with privilege escalation being a common attack vector. Attackers often start with low-level access and exploit software vulnerabilities or misconfigurations to gain administrator privileges, especially when accounts have excessive or unnecessary rights. Another overlooked risk is standing privileges â€?continuously available privileged access that expands the attack surface. <strong>Just-in-time privileged access management (JIT PAM)</strong> mitigates this by granting access only when needed and revoking it immediately after, minimizing exposure. A true least-privilege security model ensures that users, applications and systems have only the necessary rights for the shortest required duration â€?a critical requirement for compliance and regulatory security. Our teams have implemented this through an automated workflow that triggers a lightweight approval process, assigns temporary roles with restricted access and enforces time to live (TTL) for each role, ensuring privileges expire automatically once the task is completed.</p>",,,,,,,
Model distillation,Trial,Techniques,TRUE,new,"<p><a href=""https://openai.com/index/scaling-laws-for-neural-language-models/"">Scaling laws</a> have been a key driver of the AI boom â€?the principle that larger models, datasets and compute resources lead to more powerful AI systems. However, consumer hardware and edge devices often lack the capacity to support large-scale models, creating the need for model distillation.</p>

<p><strong><a href=""https://en.wikipedia.org/wiki/Knowledge_distillation"">Model distillation</a></strong> transfers knowledge from a larger, more powerful model (teacher) to a smaller, cost-efficient model (student). The process typically involves generating a sample dataset from the teacher model and fine-tuning the student to capture its statistical properties. Unlike pruning or <a href=""https://www.ibm.com/think/topics/quantization"">quantization</a>, which focus on compressing models by removing parameters, distillation aims to retain domain-specific knowledge, minimizing accuracy loss. It can also be combined with quantization for further optimization.</p>

<p><a href=""https://arxiv.org/abs/1503.02531"">Originally proposed</a> by Geoffrey Hinton et al., model distillation has gained widespread adoption. A notable example is the Qwen/Llama distilled version of <a href=""/radar/platforms/deepseek-r1"">DeepSeek R1</a>, which preserves strong reasoning capabilities in smaller models. With its growing maturity, the technique is no longer confined to research labs; itâ€™s now being applied to everything from industrial to personal projects. Providers such as <a href=""https://platform.openai.com/docs/guides/distillation"">OpenAI</a> and <a href=""https://aws.amazon.com/bedrock/model-distillation/"">Amazon Bedrock</a> offer guides to help developers distill their own <a href=""/radar/techniques/small-language-models"">small language models</a> (SLMs). We believe adopting model distillation can help organizations manage LLM deployment costs while unlocking the potential of <a href=""/radar/techniques/on-device-llm-inference"">on-device LLM inference</a>.</p>",,,,,,,
Prompt engineering,Trial,Techniques,FALSE,moved in,"<p><strong>Prompt engineering</strong> refers to the process of designing and refining prompts for generative AI models to produce high-quality, context-aware responses. This involves crafting clear, specific and relevant prompts tailored to the task or application to optimize the modelâ€™s output. As LLM capabilities evolve, particularly with the emergence of <a href=""/radar/platforms/reasoning-models"">reasoning models</a>, prompt engineering practices must also adapt. Based on our experience with AI code generation, weâ€™ve observed that <a href=""https://www.promptingguide.ai/techniques/fewshot"">few-shot prompting</a> may underperform compared to simple zero-shot prompting when working with reasoning models. Additionally, the widely used <a href=""https://arxiv.org/abs/2201.11903"">chain-of-thought</a> (CoT) prompting can <a href=""https://arxiv.org/abs/2410.21333"">degrade</a> reasoning model performance â€?likely because reinforcement learning has already <a href=""https://github.com/deepseek-ai/DeepSeek-R1/blob/main/DeepSeek_R1.pdf"">fine-tuned</a> their built-in CoT mechanism.</p>

<p>Our hands-on experience aligns with academic research, which suggests ""advanced models may <a href=""https://arxiv.org/abs/2411.02093"">eliminate the need</a> for prompt engineering in software engineering."" However, traditional prompt engineering techniques still play a crucial role in reducing hallucinations and improving output quality, especially given the differences in response time and token costs between reasoning models and general LLMs. When building <a href=""/radar/techniques/llm-powered-autonomous-agents"">agentic applications</a>, we recommend choosing models strategically, based on your needs, while continuing to refine your prompt templates and corresponding techniques. Striking the right balance among performance, response time and token cost remains key to maximizing LLM effectiveness.</p>",,,,,,,
