closed_issues,commits,created_at,description,forks,history,inner_source,is_nvidia,latest_release.published_at,latest_release.tag_name,license,name,open_days,open_issues,open_prs,openrank,openrank_data,pushed_at,quadrant,rank,ring,stars,status,topics,url
0,0,2023-06-26T19:39:32Z,"<a href=""https://github.com/ollama/ollama"">ollama/ollama</a>: Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",12097,[],FALSE,FALSE,,,MIT License,ollama/ollama,721,0,0,568.64,"{""2023"": 516.47, ""2024"": 3431.71, ""2025"": 1515.44, ""2023-07"": 22.49, ""2023-08"": 45.2, ""2023-09"": 54.16, ""2023-10"": 87.42, ""2023-11"": 134.64, ""2023-12"": 172.56, ""2024-01"": 187.05, ""2024-02"": 232.06, ""2024-03"": 261.07, ""2024-04"": 292.5, ""2024-05"": 328.55, ""2024-06"": 324.13, ""2024-07"": 345.83, ""2024-08"": 335.85, ""2024-09"": 306.6, ""2024-10"": 285.2, ""2024-11"": 273.9, ""2024-12"": 258.97, ""2025-01"": 280.94, ""2025-02"": 338.84, ""2025-03"": 327.02, ""2025-04"": 295.31, ""2025-05"": 273.33, ""2023Q3"": 121.85, ""2023Q4"": 394.62, ""2024Q1"": 680.18, ""2024Q2"": 945.18, ""2024Q3"": 988.28, ""2024Q4"": 818.06, ""2025Q1"": 946.8, ""2025Q2"": 568.64}",2025-06-17T02:18:25Z,Application,1,Adopt,143869,New,"deepseek, gemma, gemma2, gemma3, go, golang, llama, llama2, llama3, llava, llm, llms, mistral, ollama, phi3, phi4, qwen",https://github.com/ollama/ollama
0,0,2023-12-12T06:13:13Z,"<a href=""https://github.com/infiniflow/ragflow"">infiniflow/ragflow</a>: RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.",5506,[],FALSE,FALSE,,,Apache License 2.0,infiniflow/ragflow,553,0,0,462.45,"{""2024"": 862.76, ""2025"": 1045.72, ""2024-04"": 58.26, ""2024-05"": 66.91, ""2024-06"": 70.14, ""2024-07"": 86.35, ""2024-08"": 94.26, ""2024-09"": 106.17, ""2024-10"": 112.63, ""2024-11"": 131, ""2024-12"": 137.03, ""2025-01"": 133.13, ""2025-02"": 189.65, ""2025-03"": 260.49, ""2025-04"": 246.89, ""2025-05"": 215.56, ""2024Q2"": 195.31, ""2024Q3"": 286.78, ""2024Q4"": 380.66, ""2025Q1"": 583.27, ""2025Q2"": 462.45}",2025-06-17T03:57:07Z,Application,2,Trial,55983,New,"agent, agents, ai, ai-search, chatbot, chatgpt, deep-learning, deepseek, deepseek-r1, document-parser, document-understanding, graphrag, llm, nlp, ollama, pdf-to-text, rag, retrieval-augmented-generation, table-structure-recognition, text2sql",https://github.com/infiniflow/ragflow
0,0,2019-09-16T06:43:43Z,"<a href=""https://github.com/milvus-io/milvus"">milvus-io/milvus</a>: Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",3258,[],FALSE,FALSE,,,Apache License 2.0,milvus-io/milvus,2101,0,0,297.23,"{""2019"": 61.86, ""2020"": 663.66, ""2021"": 943.65, ""2022"": 1345.49, ""2023"": 1741.56, ""2024"": 1955.52, ""2025"": 766.81, ""2019-09"": 0.67, ""2019-10"": 7.45, ""2019-11"": 22.24, ""2019-12"": 31.51, ""2020-01"": 34.03, ""2020-02"": 34.69, ""2020-03"": 38, ""2020-04"": 60.14, ""2020-05"": 53.3, ""2020-06"": 51.68, ""2020-07"": 60.05, ""2020-08"": 65.99, ""2020-09"": 68.3, ""2020-10"": 64.53, ""2020-11"": 67.27, ""2020-12"": 65.68, ""2021-01"": 62.78, ""2021-02"": 45.74, ""2021-03"": 46.92, ""2021-04"": 47.73, ""2021-05"": 61.33, ""2021-06"": 69.74, ""2021-07"": 85.81, ""2021-08"": 94.07, ""2021-09"": 105.41, ""2021-10"": 105, ""2021-11"": 105.57, ""2021-12"": 115.42, ""2022-01"": 106.98, ""2022-02"": 99.53, ""2022-03"": 101.97, ""2022-04"": 101.13, ""2022-05"": 103.5, ""2022-06"": 117.31, ""2022-07"": 104.15, ""2022-08"": 111.63, ""2022-09"": 118, ""2022-10"": 125.95, ""2022-11"": 127.65, ""2022-12"": 127.69, ""2023-01"": 121.04, ""2023-02"": 126.54, ""2023-03"": 124.05, ""2023-04"": 120.03, ""2023-05"": 126.4, ""2023-06"": 141.56, ""2023-07"": 161.85, ""2023-08"": 163.53, ""2023-09"": 165.45, ""2023-10"": 161.83, ""2023-11"": 171.48, ""2023-12"": 157.81, ""2024-01"": 158.52, ""2024-02"": 153.82, ""2024-03"": 150.3, ""2024-04"": 164.31, ""2024-05"": 161.78, ""2024-06"": 175.15, ""2024-07"": 176.11, ""2024-08"": 160.96, ""2024-09"": 165.87, ""2024-10"": 166.43, ""2024-11"": 159.58, ""2024-12"": 162.69, ""2025-01"": 162.15, ""2025-02"": 153.92, ""2025-03"": 153.52, ""2025-04"": 152.31, ""2025-05"": 144.92, ""2021-10-raw"": 103.13, ""2019Q3"": 0.67, ""2019Q4"": 61.2, ""2020Q1"": 106.72, ""2020Q2"": 165.12, ""2020Q3"": 194.34, ""2020Q4"": 197.48, ""2021Q1"": 155.44, ""2021Q2"": 178.81, ""2021Q3"": 285.29, ""2021Q4"": 324.11, ""2022Q1"": 308.49, ""2022Q2"": 321.94, ""2022Q3"": 333.78, ""2022Q4"": 381.29, ""2023Q1"": 371.63, ""2023Q2"": 387.98, ""2023Q3"": 490.84, ""2023Q4"": 491.12, ""2024Q1"": 462.64, ""2024Q2"": 501.25, ""2024Q3"": 502.93, ""2024Q4"": 488.7, ""2025Q1"": 469.59, ""2025Q2"": 297.22}",2025-06-17T06:40:39Z,Application,3,Trial,35418,New,"anns, cloud-native, diskann, distributed, embedding-database, embedding-similarity, embedding-store, faiss, golang, hnsw, image-search, llm, nearest-neighbor-search, rag, vector-database, vector-search, vector-similarity, vector-store",https://github.com/milvus-io/milvus
0,0,2023-02-23T16:53:25Z,"<a href=""https://github.com/labring/FastGPT"">labring/FastGPT</a>: FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",6373,[],FALSE,FALSE,,,Other,labring/FastGPT,844,0,0,172.81,"{""2023"": 195.3, ""2024"": 982.76, ""2025"": 433.6, ""2023-04"": 6.39, ""2023-05"": 14.99, ""2023-06"": 15.61, ""2023-07"": 17.01, ""2023-08"": 23.58, ""2023-09"": 29.46, ""2023-10"": 26.3, ""2023-11"": 26.1, ""2023-12"": 35.85, ""2024-01"": 39.47, ""2024-02"": 39.39, ""2024-03"": 54.97, ""2024-04"": 73.48, ""2024-05"": 93.48, ""2024-06"": 100.28, ""2024-07"": 101.65, ""2024-08"": 112.34, ""2024-09"": 102.59, ""2024-10"": 93.46, ""2024-11"": 90.06, ""2024-12"": 81.58, ""2025-01"": 73.76, ""2025-02"": 86.02, ""2025-03"": 101.03, ""2025-04"": 93.89, ""2025-05"": 78.92, ""2023Q2"": 36.98, ""2023Q3"": 70.06, ""2023Q4"": 88.26, ""2024Q1"": 133.83, ""2024Q2"": 267.24, ""2024Q3"": 316.58, ""2024Q4"": 265.1, ""2025Q1"": 260.8, ""2025Q2"": 172.8}",2025-06-17T04:46:02Z,Application,4,Trial,24754,New,"agent, claude, deepseek, llm, mcp, nextjs, openai, qwen, rag, workflow",https://github.com/labring/FastGPT
0,0,2024-06-10T23:06:10Z,"<a href=""https://github.com/vllm-project/aibrix"">vllm-project/aibrix</a>: Cost-efficient and pluggable Infrastructure components for GenAI inference",378,[],FALSE,FALSE,,,Apache License 2.0,vllm-project/aibrix,371,0,0,64.34,"{""2025"": 95.84, ""2025-02"": 9.87, ""2025-03"": 21.65, ""2025-04"": 27.72, ""2025-05"": 36.62, ""2025Q1"": 31.51, ""2025Q2"": 64.33}",2025-06-16T14:11:42Z,Application,5,Assess,3732,New,No Topics,https://github.com/vllm-project/aibrix
0,0,2018-10-04T21:10:30Z,"<a href=""https://github.com/triton-inference-server/server"">triton-inference-server/server</a>: The Triton Inference Server provides an optimized cloud and edge inferencing solution. ",1596,[],FALSE,FALSE,,,"BSD 3-Clause ""New"" or ""Revised"" License",triton-inference-server/server,2447,0,0,59.98,"{""2018"": 9.35, ""2019"": 306.45, ""2020"": 554.03, ""2021"": 652.78, ""2022"": 695.82, ""2023"": 713.93, ""2024"": 673.51, ""2025"": 185.52, ""2018-11"": 3.15, ""2018-12"": 6.2, ""2019-01"": 8.46, ""2019-02"": 12.52, ""2019-03"": 15.08, ""2019-04"": 18.69, ""2019-05"": 22.46, ""2019-06"": 25.19, ""2019-07"": 29.08, ""2019-08"": 31.95, ""2019-09"": 35.8, ""2019-10"": 34.7, ""2019-11"": 36.04, ""2019-12"": 36.48, ""2020-01"": 36.73, ""2020-02"": 35.32, ""2020-03"": 39.4, ""2020-04"": 45.99, ""2020-05"": 49.34, ""2020-06"": 50.43, ""2020-07"": 53.83, ""2020-08"": 53.67, ""2020-09"": 50.26, ""2020-10"": 50.81, ""2020-11"": 43.69, ""2020-12"": 44.58, ""2021-01"": 51.5, ""2021-02"": 46.7, ""2021-03"": 48.56, ""2021-04"": 50.39, ""2021-05"": 53.87, ""2021-06"": 62.65, ""2021-07"": 62.79, ""2021-08"": 63.67, ""2021-09"": 64.46, ""2021-10"": 58, ""2021-11"": 49.7, ""2021-12"": 55.93, ""2022-01"": 59.18, ""2022-02"": 58.96, ""2022-03"": 62.25, ""2022-04"": 65.89, ""2022-05"": 58.38, ""2022-06"": 55.62, ""2022-07"": 57.62, ""2022-08"": 58.41, ""2022-09"": 59.32, ""2022-10"": 53.63, ""2022-11"": 53.91, ""2022-12"": 52.67, ""2023-01"": 47.98, ""2023-02"": 57.91, ""2023-03"": 57.65, ""2023-04"": 61.79, ""2023-05"": 62.95, ""2023-06"": 59.13, ""2023-07"": 58.72, ""2023-08"": 64.56, ""2023-09"": 59.84, ""2023-10"": 57.43, ""2023-11"": 65.47, ""2023-12"": 60.52, ""2024-01"": 61.35, ""2024-02"": 55.81, ""2024-03"": 60.17, ""2024-04"": 60.24, ""2024-05"": 57.45, ""2024-06"": 51.72, ""2024-07"": 48.53, ""2024-08"": 57.52, ""2024-09"": 60.17, ""2024-10"": 57.91, ""2024-11"": 52.69, ""2024-12"": 49.95, ""2025-01"": 46.62, ""2025-02"": 41.18, ""2025-03"": 37.74, ""2025-04"": 34.64, ""2025-05"": 25.34, ""2021-10-raw"": 42.56, ""2018Q4"": 9.35, ""2019Q1"": 36.06, ""2019Q2"": 66.34, ""2019Q3"": 96.83, ""2019Q4"": 107.22, ""2020Q1"": 111.44, ""2020Q2"": 145.76, ""2020Q3"": 157.75, ""2020Q4"": 139.08, ""2021Q1"": 146.76, ""2021Q2"": 166.9, ""2021Q3"": 190.92, ""2021Q4"": 148.2, ""2022Q1"": 180.38, ""2022Q2"": 179.88, ""2022Q3"": 175.35, ""2022Q4"": 160.21, ""2023Q1"": 163.54, ""2023Q2"": 183.86, ""2023Q3"": 183.12, ""2023Q4"": 183.42, ""2024Q1"": 177.32, ""2024Q2"": 169.41, ""2024Q3"": 166.23, ""2024Q4"": 160.55, ""2025Q1"": 125.54, ""2025Q2"": 59.98}",2025-06-17T06:17:12Z,Application,6,Assess,9347,New,"cloud, datacenter, deep-learning, edge, gpu, inference, machine-learning",https://github.com/triton-inference-server/server
0,0,2022-10-08T10:26:28Z,"<a href=""https://github.com/huggingface/text-generation-inference"">huggingface/text-generation-inference</a>: Large Language Model Text Generation Inference",1199,[],FALSE,FALSE,,,Apache License 2.0,huggingface/text-generation-inference,983,0,0,55.37,"{""2022"": 4.41, ""2023"": 514.19, ""2024"": 671.89, ""2025"": 191.34, ""2022-10"": 0.42, ""2022-11"": 0.4, ""2022-12"": 3.59, ""2023-01"": 4.42, ""2023-02"": 6.49, ""2023-03"": 9.29, ""2023-04"": 18.17, ""2023-05"": 34.08, ""2023-06"": 44.96, ""2023-07"": 74.17, ""2023-08"": 81.53, ""2023-09"": 78.65, ""2023-10"": 64.82, ""2023-11"": 49.52, ""2023-12"": 48.09, ""2024-01"": 50.98, ""2024-02"": 51.35, ""2024-03"": 36.97, ""2024-04"": 53.61, ""2024-05"": 59.91, ""2024-06"": 66.12, ""2024-07"": 78.18, ""2024-08"": 63.61, ""2024-09"": 59.83, ""2024-10"": 62.55, ""2024-11"": 45.9, ""2024-12"": 42.89, ""2025-01"": 45.9, ""2025-02"": 53.04, ""2025-03"": 37.03, ""2025-04"": 29.48, ""2025-05"": 25.89, ""2022Q4"": 4.41, ""2023Q1"": 20.2, ""2023Q2"": 97.21, ""2023Q3"": 234.35, ""2023Q4"": 162.43, ""2024Q1"": 139.3, ""2024Q2"": 179.64, ""2024Q3"": 201.62, ""2024Q4"": 151.33, ""2025Q1"": 135.97, ""2025Q2"": 55.37}",2025-06-16T21:08:08Z,Framework,7,Assess,10226,New,"bloom, deep-learning, falcon, gpt, inference, nlp, pytorch, starcoder, transformer",https://github.com/huggingface/text-generation-inference
0,0,2024-02-05T05:45:08Z,"<a href=""https://github.com/QwenLM/Qwen3"">QwenLM/Qwen3</a>: Qwen3 is the large language model series developed by Qwen team, Alibaba Cloud.",1479,[],FALSE,FALSE,,,No License,QwenLM/Qwen3,498,0,0,40.63,"{""2024"": 480.3, ""2025"": 77.52, ""2024-02"": 28.88, ""2024-03"": 44.24, ""2024-04"": 55.73, ""2024-05"": 48.57, ""2024-06"": 77.76, ""2024-07"": 61.34, ""2024-08"": 48.53, ""2024-09"": 43.06, ""2024-10"": 28.78, ""2024-11"": 24.26, ""2024-12"": 19.15, ""2025-01"": 13.82, ""2025-02"": 11.27, ""2025-03"": 11.8, ""2025-04"": 15.95, ""2025-05"": 24.68, ""2024Q1"": 73.12, ""2024Q2"": 182.06, ""2024Q3"": 152.93, ""2024Q4"": 72.19, ""2025Q1"": 36.89, ""2025Q2"": 40.63}",2025-06-13T09:46:25Z,Application,8,Assess,22078,New,No Topics,https://github.com/QwenLM/Qwen3
0,0,2025-01-20T11:57:28Z,"<a href=""https://github.com/deepseek-ai/DeepSeek-R1"">deepseek-ai/DeepSeek-R1</a>: None",11637,[],FALSE,FALSE,,,MIT License,deepseek-ai/DeepSeek-R1,148,0,0,39.14,"{""2025"": 226.98, ""2025-01"": 51.89, ""2025-02"": 87.72, ""2025-03"": 48.23, ""2025-04"": 24.17, ""2025-05"": 14.97, ""2025Q1"": 187.84, ""2025Q2"": 39.13}",2025-04-09T05:36:23Z,Application,9,Assess,90122,New,No Topics,https://github.com/deepseek-ai/DeepSeek-R1
0,0,2025-04-17T06:54:07Z,"<a href=""https://github.com/ByteDance-Seed/Bagel"">ByteDance-Seed/Bagel</a>: Open-source unified multimodal model",325,[],FALSE,FALSE,,,Apache License 2.0,ByteDance-Seed/Bagel,61,0,0,25.35,"{""2025"": 25.35, ""2025-05"": 25.35, ""2025Q2"": 25.35}",2025-06-17T06:33:14Z,Application,10,Hold,4129,New,No Topics,https://github.com/ByteDance-Seed/Bagel
